id,name,pos
8471233,Travis Zajac,C
8474056,P.K. Subban,D
8475151,Kyle Palmieri,R
8476368,Fredrik Claesson,D
8476923,Damon Severson,D
8476941,Connor Carrick,D
8477038,Nikita Gusev,L
8477355,Will Butcher,D
8477401,John Hayden,C
8477425,Miles Wood,L
8477509,Mirco Mueller,D
8477541,Dakota Mermis,D
8478401,Pavel Zacha,C
8479291,Kevin Rooney,C
8479315,Joey Anderson,R
8479407,Jesper Bratt,L
8479415,Michael McLeod,C
8480002,Nico Hischier,C
8481559,Jack Hughes,C
8470187,Johnny Boychuk,D
8471217,Andrew Ladd,L
8472382,Andy Greene,D
8473463,Leo Komarov,R
8473504,Cal Clutterbuck,R
8473544,Derick Brassard,C
8474066,Thomas Hickey,D
8474573,Josh Bailey,R
8474586,Jordan Eberle,R
8474709,Matt Martin,L
8475181,Nick Leddy,D
8475231,Casey Cizikas,C
8475314,Anders Lee,L
8475754,Brock Nelson,C
8475832,Tom Kuhnhackl,R
8476419,Jean-Gabriel Pageau,C
8476429,Scott Mayfield,D
8476917,Adam Pelech,D
8477506,Ryan Pulock,D
8477527,Ross Johnston,L
8477936,Michael Dal Colle,L
8478038,Devon Toews,D
8478445,Mathew Barzal,C
8478463,Anthony Beauvillier,L
8479526,Otto Koivula,L
8480222,Sebastian Aho,D
8480865,Noah Dobson,D
8474230,Micheal Haley,C
8471686,Marc Staal,D
8474090,Brendan Smith,D
8475184,Chris Kreider,L
8475735,Greg McKegg,C
8475855,Jesper Fast,R
8476396,Steven Fogarty,C
8476458,Ryan Strome,C
8476459,Mika Zibanejad,C
8476858,Phillip Di Giuseppe,L
8476885,Jacob Trouba,D
8476982,Danny O'Regan,C
8477402,Pavel Buchnevich,R
8477950,Tony DeAngelo,D
8477962,Brendan Lemieux,L
8478178,Darren Raddysh,D
8478550,Artemi Panarin,L
8479027,Brandon Crawley,D
8479323,Adam Fox,D
8479324,Ryan Lindgren,D
8479328,Julien Gauthier,R
8479333,Libor Hajek,D
8479353,Brett Howden,C
8479364,Tim Gettinger,L
8479968,Vinni Lettieri,R
8480078,Filip Chytil,C
8480833,Vitali Kravtsov,R
8481554,Kaapo Kakko,R
8477502,Samuel Morin,D
8473485,Chris Stewart,R
8470775,Nate Thompson,C
8471702,Matt Niskanen,D
8473512,Claude Giroux,C
8474027,Justin Braun,D
8474037,James van Riemsdyk,L
8474161,Jakub Voracek,R
8474683,Derek Grant,C
8475752,Tyler Pitlick,C
8475763,Kevin Hayes,C
8476404,Andy Andreoff,C
8476407,Andy Welinski,D
8476461,Sean Couturier,C
8476872,Scott Laughton,C
8476906,Shayne Gostisbehere,D
8477290,Michael Raffl,L
8477462,Robert Hagg,D
8477948,Travis Sanheim,D
8477979,Nicolas Aube-Kubel,R
8478017,Mark Friedman,D
8478067,Oskar Lindblom,L
8478439,Travis Konecny,R
8478500,Ivan Provorov,D
8479026,Philippe Myers,D
8479382,Connor Bunnaman,C
8480028,Morgan Frost,C
8480797,Joel Farabee,L
8481178,Egor Zamula,D
8475760,Nick Bjugstad,C
8478866,Dominik Simon,C
8466139,Patrick Marleau,C
8471215,Evgeni Malkin,C
8471675,Sidney Crosby,C
8471677,Jack Johnson,D
8471724,Kris Letang,D
8471887,Patric Hornqvist,R
8474602,Justin Schultz,D
8475208,Brian Dumoulin,D
8475722,Jason Zucker,L
8475810,Bryan Rust,R
8476927,Teddy Blueger,C
8477244,Chad Ruhwedel,D
8477404,Jake Guentzel,L
8477839,Conor Sheary,L
8477955,Jared McCann,C
8477969,Marcus Pettersson,D
8478043,Sam Lafferty,C
8478074,Anthony Angello,C
8478507,John Marino,D
8478542,Evan Rodrigues,C
8479293,Brandon Tanev,L
8479944,Zach Aston-Reese,C
8480945,Juuso Riikola,D
8476191,Kevan Miller,D
8465009,Zdeno Chara,D
8470638,Patrice Bergeron,C
8471276,David Krejci,C
8473419,Brad Marchand,L
8475186,John Moore,D
8475745,Charlie Coyle,C
8475780,Chris Wagner,R
8475807,Joakim Nordstrom,C
8476374,Sean Kuraly,C
8476792,Torey Krug,D
8476891,Matt Grzelcyk,D
8477365,Connor Clifton,D
8477941,Nick Ritchie,L
8477956,David Pastrnak,R
8478075,Anders Bjork,L
8478131,Ondrej Kase,R
8478415,Jakub Zboril,D
8478443,Brandon Carlo,D
8478468,Jeremy Lauzon,D
8478485,Zach Senyshyn,R
8478498,Jake DeBrusk,L
8479325,Charlie McAvoy,D
8479365,Trent Frederic,C
8480001,Urho Vaakanainen,D
8480021,Jack Studnicka,C
8480901,Karson Kuhlman,C
8480944,Par Lindholm,C
8471743,Vladimir Sobotka,C
8479420,Tage Thompson,R
8471436,Matt Hunwick,D
8473449,Kyle Okposo,R
8473564,Michael Frolik,R
8474190,Wayne Simmonds,R
8475149,Marcus Johansson,L
8475728,Johan Larsson,C
8475784,Jeff Skinner,L
8476525,Colin Miller,D
8476878,Zemgus Girgensons,C
8476918,Jimmy Vesey,L
8476931,Jake McCabe,D
8477499,Rasmus Ristolainen,D
8477508,Curtis Lazar,C
8477933,Sam Reinhart,C
8477986,Brandon Montour,D
8478109,Victor Olofsson,L
8478403,Jack Eichel,C
8480035,Henri Jokiharju,D
8480839,Rasmus Dahlin,D
8480935,Lawrence Pilut,D
8480946,Dominik Kahun,C
8477460,Laurent Dauphin,C
8479990,Josh Brook,D
8470642,Shea Weber,D
8473507,Jeff Petry,D
8474038,Paul Byron,L
8474668,Dale Weise,R
8475193,Tomas Tatar,L
8475279,Ben Chiarot,D
8475738,Jordan Weal,C
8475848,Brendan Gallagher,R
8475968,Alex Belzile,R
8476443,Xavier Ouellet,D
8476469,Joel Armia,R
8476479,Phillip Danault,C
8476948,Charles Hudon,L
8476967,Brett Kulak,D
8477467,Gustav Olofsson,D
8477476,Artturi Lehkonen,L
8477494,Jonathan Drouin,L
8477503,Max Domi,C
8477850,Christian Folin,D
8478133,Jake Evans,C
8478454,Noah Juulsen,D
8479376,Victor Mete,D
8479985,Cale Fleury,D
8480018,Nick Suzuki,C
8480068,Ryan Poehling,C
8480829,Jesperi Kotkaniemi,C
8468493,Ron Hainsey,D
8471676,Bobby Ryan,R
8473573,Artem Anisimov,C
8474571,Mikkel Boedker,L
8474697,Mark Borowiecki,D
8476285,Matthew Peca,C
8476422,Mike Reilly,D
8476919,Chris Tierney,C
8477015,Connor Brown,R
8477149,Scott Sabourin,R
8477407,Anthony Duclair,L
8477426,Nick Paul,L
8477963,Jayce Hawryluk,R
8477971,Andreas Englund,D
8478400,Colin White,C
8478469,Thomas Chabot,D
8478846,Christian Wolanin,D
8478870,Rudolfs Balcers,L
8479458,Nikita Zaitsev,D
8480801,Brady Tkachuk,L
8469455,Jason Spezza,C
8474162,Jake Muzzin,D
8475160,Kyle Clifford,L
8475166,John Tavares,C
8475197,Tyson Barrie,D
8475716,Martin Marincin,D
8475718,Justin Holl,D
8475786,Zach Hyman,L
8476853,Morgan Rielly,D
8476879,Cody Ceci,D
8477021,Alexander Kerfoot,C
8477341,Andreas Johnsson,L
8477464,Nic Petan,C
8477512,Frederik Gauthier,C
8477939,William Nylander,R
8477953,Kasperi Kapanen,R
8478115,Pierre Engvall,L
8478408,Travis Dermott,D
8478483,Mitchell Marner,R
8478843,Denis Malgin,C
8479318,Auston Matthews,C
8480157,Calle Rosen,D
8480873,Rasmus Sandin,D
8481582,Nicholas Robertson,L
8481624,Ilya Mikheyev,R
8477488,Brett Pesce,D
8468508,Justin Williams,R
8473533,Jordan Staal,C
8474581,Jake Gardiner,D
8475222,Sami Vatanen,D
8475799,Nino Niederreiter,R
8476288,Ryan Dzingel,C
8476323,Max McCormick,L
8476389,Vincent Trocheck,C
8476441,Joel Edmundson,D
8476462,Dougie Hamilton,D
8476869,Brady Skjei,D
8476882,Teuvo Teravainen,L
8476921,Jordan Martinook,L
8476934,Brock McGinn,L
8476958,Jaccob Slavin,D
8477845,Trevor van Riemsdyk,D
8477938,Haydn Fleury,D
8477981,Roland McKeown,D
8477998,Warren Foegele,L
8478056,Clark Bishop,C
8478427,Sebastian Aho,C
8478904,Steven Lorentz,C
8479402,Jake Bean,D
8479987,Morgan Geekie,C
8480039,Martin Necas,C
8480830,Andrei Svechnikov,R
8480185,Eetu Luostarinen,C
8470619,Brian Boyle,C
8471735,Keith Yandle,D
8471873,Anton Stralman,D
8474098,Colton Sceviour,C
8474149,Evgenii Dadonov,R
8474884,Mike Hoffman,L
8475287,Erik Haula,L
8475792,Brett Connolly,R
8475796,Mark Pysyk,D
8476456,Jonathan Huberdeau,L
8476875,Mike Matheson,D
8476952,Dominic Toninato,C
8477346,MacKenzie Weegar,D
8477384,Josh Brown,D
8477493,Aleksander Barkov,C
8477932,Aaron Ekblad,D
8478027,Lucas Wallmark,C
8478211,Dryden Hunt,L
8478366,Frank Vatrano,C
8478569,Noel Acciari,C
8478839,Aleksi Saarela,C
8479388,Riley Stillman,D
8479597,Chase Priskie,D
8480015,Owen Tippett,R
8481442,Brady Keeper,D
8470601,Braydon Coburn,D
8473986,Alex Killorn,L
8474031,Kevin Shattenkirk,D
8474034,Pat Maroon,L
8474151,Ryan McDonagh,D
8474564,Steven Stamkos,C
8474567,Zach Bogosian,D
8474568,Luke Schenn,D
8474870,Tyler Johnson,C
8475167,Victor Hedman,D
8476292,Ondrej Palat,L
8476399,Blake Coleman,C
8476453,Nikita Kucherov,R
8476624,Barclay Goodrow,C
8476826,Yanni Gourde,C
8476975,Cedric Paquette,C
8477409,Carter Verhaeghe,C
8478010,Brayden Point,C
8478416,Erik Cernak,D
8478472,Mathieu Joseph,R
8478477,Mitchell Stephens,C
8478519,Anthony Cirelli,C
8479410,Mikhail Sergachev,D
8480172,Jan Rutta,D
8478063,Shane Gersich,L
8479516,Garrett Pilon,C
8469454,Ilya Kovalchuk,L
8471214,Alex Ovechkin,L
8471698,T.J. Oshie,R
8473563,Nicklas Backstrom,C
8474176,Carl Hagelin,L
8474189,Lars Eller,C
8474590,John Carlson,D
8475200,Dmitry Orlov,D
8475209,Richard Panik,R
8475324,Nick Jensen,D
8475343,Nic Dowd,C
8475455,Brenden Dillon,D
8475462,Radko Gudas,D
8475744,Evgeny Kuznetsov,C
8476329,Travis Boyd,C
8476880,Tom Wilson,R
8477314,Brian Pinho,C
8477343,Tyler Lewington,D
8477544,Philippe Maillet,C
8477903,Garnet Hathaway,R
8477944,Jakub Vrana,L
8478399,Jonas Siegenthaler,D
8478466,Daniel Sprong,R
8479359,Beck Malenstyn,L
8479482,Michal Kempny,D
8480796,Martin Fehervary,D
8480823,Alexander Alexeyev,D
8481580,Connor McMichael,C
8470607,Brent Seabrook,D
8476381,Andrew Shaw,R
8479342,Chad Krys,D
8481147,Reese Johnson,C
8470281,Duncan Keith,D
8473604,Jonathan Toews,C
8474141,Patrick Kane,R
8475177,Calvin de Haan,D
8476372,Nick Seeler,D
8476438,Brandon Saad,L
8476473,Connor Murphy,D
8476874,Olli Maatta,D
8476886,Slater Koekkoek,D
8477330,Dominik Kubalik,L
8477846,Ryan Carpenter,C
8477961,John Quenneville,C
8478106,Dylan Sikura,R
8478146,Matthew Highmore,C
8478440,Dylan Strome,C
8479337,Alex DeBrincat,L
8479423,Alex Nylander,L
8479465,Drake Caggiula,C
8479523,Lucas Carlsson,D
8479542,Brandon Hagel,L
8480025,MacKenzie Entwistle,R
8480144,David Kampf,C
8480798,Philipp Kurashev,C
8480814,Nicolas Beaudin,D
8480831,Alec Regula,D
8480871,Adam Boqvist,D
8481523,Kirby Dach,C
8477215,Danny DeKeyser,D
8479395,Dennis Cholowski,D
8480184,Gustav Lindstrom,D
8470047,Valtteri Filppula,C
8470110,Trevor Daley,D
8470144,Frans Nielsen,C
8470318,Jonathan Ericsson,D
8471716,Justin Abdelkader,L
8471794,Darren Helm,L
8473415,Alex Biega,D
8474040,Sam Gagner,C
8474597,Cody Goloubef,D
8475747,Patrik Nemeth,D
8476822,Luke Glendening,C
8477454,Adam Erne,L
8477474,Madison Bowey,D
8477479,Tyler Bertuzzi,L
8477511,Anthony Mantha,R
8477943,Brendan Perlini,L
8477946,Dylan Larkin,C
8477952,Robby Fabbri,C
8478036,Christoffer Ehn,C
8478857,Dmytro Timashov,L
8479425,Filip Hronek,D
8469465,Dan Hamhuis,D
8473560,Korbinian Holzer,D
8474009,Nick Bonino,C
8474068,Kyle Turris,C
8474134,Yannick Weber,D
8474600,Roman Josi,D
8475168,Matt Duchene,C
8475176,Ryan Ellis,D
8475218,Mattias Ekholm,D
8475225,Craig Smith,R
8475714,Calle Jarnkrok,C
8475766,Austin Watson,L
8475793,Ryan Johansen,C
8475797,Jarred Tinordi,D
8475798,Mikael Granlund,C
8476278,Colin Blackwell,C
8476428,Rocco Grimaldi,R
8476887,Filip Forsberg,L
8476925,Colton Sissons,C
8477446,Michael McCarron,R
8477901,Daniel Carr,L
8478042,Viktor Arvidsson,R
8478508,Yakov Trenin,C
8478851,Alexandre Carrier,D
8479371,Dante Fabbro,D
8480009,Eeli Tolvanen,R
8470151,Jay Bouwmeester,D
8470257,Alexander Steen,L
8471426,Troy Brouwer,R
8474102,David Perron,L
8474125,Carl Gunnarsson,D
8474145,Robert Bortuzzo,D
8474565,Alex Pietrangelo,D
8474618,Marco Scandella,D
8475098,Tyler Bozak,C
8475158,Ryan O'Reilly,C
8475170,Brayden Schenn,C
8475753,Justin Faulk,D
8475765,Vladimir Tarasenko,R
8475768,Jaden Schwartz,L
8476884,Derrick Pouliot,D
8476892,Colton Parayko,D
8476897,Oskar Sundqvist,C
8476907,Mackenzie MacEachern,L
8477455,Jacob de la Rose,L
8477482,Zach Sanford,L
8477964,Ivan Barbashev,C
8478013,Jake Walman,D
8478040,Austin Poganski,R
8478104,Sammy Blais,L
8478407,Vince Dunn,D
8478859,Niko Mikkola,D
8479385,Jordan Kyrou,C
8480011,Klim Kostin,C
8480023,Robert Thomas,C
8474612,Travis Hamonic,D
8479976,Juuso Valimaki,D
8470966,Mark Giordano,D
8473473,Milan Lucic,L
8474150,Mikael Backlund,C
8474628,Michael Stone,D
8474673,TJ Brodie,D
8474736,Zac Rinaldo,C
8475278,Byron Froese,C
8475762,Derek Forbort,D
8476346,Johnny Gaudreau,L
8476356,Tobias Rieder,C
8476409,Alan Quine,C
8476873,Mark Jankowski,C
8476979,Erik Gustafsson,D
8477210,Buddy Robinson,R
8477496,Elias Lindholm,C
8477497,Sean Monahan,C
8477935,Sam Bennett,C
8478233,Andrew Mangiapane,L
8478396,Noah Hanifin,D
8478397,Rasmus Andersson,D
8478430,Oliver Kylington,D
8478512,Austin Czarnik,C
8478585,Derek Ryan,C
8479314,Matthew Tkachuk,L
8479346,Dillon Dube,C
8481630,Alexander Yelesin,D
8474569,Colin Wilson,C
8473446,Erik Johnson,D
8474013,Ian Cole,D
8474685,Matt Calvert,L
8474717,Mark Barberio,D
8475172,Nazem Kadri,C
8475246,Kevin Connauton,D
8475820,Joonas Donskoi,R
8476391,T.J. Tynan,C
8476442,Matt Nieto,L
8476455,Gabriel Landeskog,L
8476480,Vladislav Namestnikov,C
8477435,Ryan Graves,D
8477444,Andre Burakovsky,L
8477456,J.T. Compher,L
8477492,Nathan MacKinnon,C
8477501,Valeri Nichushkin,R
8477507,Nikita Zadorov,D
8477930,Pierre-Edouard Bellemare,C
8478073,Anton Lindholm,D
8478420,Mikko Rantanen,R
8479370,Tyson Jost,C
8479398,Samuel Girard,D
8479982,Conor Timmins,D
8480032,Shane Bowers,C
8480069,Cale Makar,D
8480326,Sheldon Dries,C
8481186,Logan O'Connor,R
8481524,Bowen Byram,D
8481598,Philip Broberg,D
8471707,James Neal,L
8471729,Kris Russell,D
8474589,Tyler Ennis,C
8475163,Alex Chiasson,R
8475178,Zack Kassian,R
8475772,Riley Sheahan,C
8476326,Josh Archibald,R
8476454,Ryan Nugent-Hopkins,C
8476457,Adam Larsson,D
8476472,Oscar Klefbom,D
8476915,Jujhar Khaira,L
8476960,Andreas Athanasiou,L
8476988,Matt Benning,D
8477498,Darnell Nurse,D
8477934,Leon Draisaitl,C
8478021,William Lagesson,D
8478402,Connor McDavid,C
8478442,Cooper Marody,C
8478451,Ethan Bear,D
8478452,Caleb Jones,D
8479347,Tyler Benson,L
8479466,Patrick Russell,R
8479977,Kailer Yamamoto,R
8480802,Ryan McLeod,C
8480803,Evan Bouchard,D
8481638,Joakim Nygard,L
8481813,Gaetan Haas,C
8470626,Loui Eriksson,L
8471303,Alexander Edler,D
8474091,Brandon Sutter,C
8474291,Jay Beagle,C
8474574,Tyler Myers,D
8474818,Jordie Benn,D
8474849,Antoine Roussel,L
8475690,Christopher Tanev,D
8475726,Tyler Toffoli,R
8475907,Micheal Ferland,L
8476344,Tyler Graovac,C
8476468,J.T. Miller,C
8476871,Tanner Pearson,L
8477353,Tyler Motte,C
8477473,Justin Bailey,R
8477500,Bo Horvat,C
8477937,Jake Virtanen,R
8478444,Brock Boeser,R
8478874,Adam Gaudette,C
8478970,Jalen Chatfield,D
8479355,Olli Juolevi,D
8479442,Troy Stecher,D
8479772,Zack MacEwen,C
8480012,Elias Pettersson,C
8480147,Oscar Fantenberg,D
8480800,Quinn Hughes,D
8481479,Brogan Rafferty,D
8470612,Ryan Getzlaf,C
8470655,David Backes,R
8474584,Michael Del Zotto,D
8474641,Adam Henrique,C
8475164,Jakob Silfverberg,R
8475235,Nicolas Deslauriers,L
8475461,Andrew Agozzino,L
8475625,Matt Irwin,D
8475764,Cam Fowler,D
8475790,Erik Gudbranson,D
8476312,Josh Manson,D
8476483,Rickard Rakell,L
8476854,Hampus Lindholm,D
8477043,Christian Djoos,D
8477240,Carter Rowney,C
8477947,Sonny Milano,L
8478046,Danton Heinen,L
8478491,Jacob Larsson,D
8479351,Sam Steel,C
8479368,Max Jones,L
8471691,Martin Hanzal,C
8471392,Roman Polak,D
8470621,Corey Perry,R
8470794,Joe Pavelski,C
8471228,Alexander Radulov,R
8471260,Blake Comeau,L
8471284,Andrej Sekera,D
8471699,Andrew Cogliano,C
8473994,Jamie Benn,L
8475413,Justin Dowling,C
8475730,Stephen Johns,D
8475794,Tyler Seguin,C
8475906,John Klingberg,D
8476166,Taylor Fedun,D
8476467,Jamie Oleksiak,D
8476889,Radek Faksa,C
8476902,Esa Lindell,D
8477406,Mattias Janmark,C
8477450,Jason Dickinson,C
8478449,Roope Hintz,L
8478495,Denis Gurianov,R
8480036,Miro Heiskanen,D
8480848,Ty Dellandrea,C
8481581,Thomas Harley,D
8481641,Joel Kiviranta,L
8470604,Jeff Carter,C
8470606,Dustin Brown,R
8471685,Anze Kopitar,C
8473453,Trevor Lewis,C
8474563,Drew Doughty,D
8476924,Martin Frk,R
8476947,Nikolai Prokhorkin,L
8477018,Ben Hutton,D
8477046,Joakim Ryan,D
8477073,Kurtis MacDermid,D
8477960,Adrian Kempe,C
8478020,Michael Amadio,C
8478455,Austin Wagner,L
8478911,Matt Roy,D
8479675,Trevor Moore,C
8479998,Mikey Anderson,D
8480014,Gabriel Vilardi,C
8480113,Alex Iafallo,L
8480336,Sean Walker,D
8481481,Blake Lizotte,C
8474578,Erik Karlsson,D
8474774,Dalton Prout,D
8476881,Tomas Hertl,C
8466138,Joe Thornton,C
8470613,Brent Burns,D
8471709,Marc-Edouard Vlasic,D
8474053,Logan Couture,C
8475169,Evander Kane,L
8475834,Marcus Sorensen,L
8475841,Tim Heed,D
8475869,Brandon Davidson,D
8476474,Stefan Noesen,R
8477922,Melker Karlsson,C
8478099,Kevin Labanc,R
8478136,Jacob Middleton,D
8478414,Timo Meier,R
8479393,Noah Gregor,C
8479580,Dylan Gambrell,C
8479983,Mario Ferraro,D
8480160,Radim Simek,D
8480384,Alexander True,C
8480965,Antti Suomela,C
8481516,Joel Kellman,C
8481640,Lean Bergmann,C
8471273,Brandon Dubinsky,C
8476981,Josh Anderson,R
8481650,Jakob Lilja,L
8471804,Nathan Gerbe,C
8473422,Nick Foligno,L
8474062,Riley Nash,C
8474679,Gustav Nyquist,C
8474715,Cam Atkinson,R
8475233,David Savard,D
8476432,Boone Jenner,C
8476449,Scott Harrington,D
8476850,Ryan Murray,D
8476870,Stefan Matteau,C
8476913,Devin Shore,C
8477416,Oliver Bjorkstrand,R
8477495,Seth Jones,D
8477505,Alexander Wennberg,C
8478460,Zach Werenski,D
8478506,Gabriel Carlsson,D
8478567,Dean Kukan,D
8478831,Kevin Stenlund,C
8478882,Vladislav Gavrikov,D
8478906,Markus Nutivaara,D
8479369,Andrew Peeke,D
8479400,Pierre-Luc Dubois,C
8480074,Alexandre Texier,C
8480205,Emil Bemstrom,C
8480762,Eric Robinson,L
8480853,Liam Foudy,C
8469459,Mikko Koivu,C
8470595,Eric Staal,C
8470600,Ryan Suter,D
8470610,Zach Parise,L
8474716,Jared Spurgeon,D
8474749,Matt Bartkowski,D
8475220,Marcus Foligno,L
8475692,Mats Zuccarello,R
8476415,Kyle Rau,C
8476437,Victor Rask,C
8476463,Jonas Brodin,D
8476779,Brad Hunt,D
8476851,Alex Galchenyuk,C
8476856,Matt Dumba,D
8477366,Luke Johnson,C
8477369,Carson Soucy,D
8477451,Ryan Hartman,R
8477942,Kevin Fiala,L
8477987,Ryan Donato,C
8478011,Louie Belpedio,D
8478413,Jordan Greenway,L
8478493,Joel Eriksson Ek,C
8479316,Luke Kunin,C
8479734,Brennan Menell,D
8479933,Gerald Mayhew,C
8481477,Nico Sturm,C
8473412,Bryan Little,C
8471218,Blake Wheeler,R
8473618,Mathieu Perreault,L
8473914,Mark Letestu,C
8474579,Luca Sbisa,D
8475179,Dmitry Kulikov,D
8475236,Cody Eakin,C
8475268,Gabriel Bourque,L
8475868,Anthony Bitetto,D
8476331,Dylan DeMelo,D
8476392,Adam Lowry,C
8476400,Logan Shaw,R
8476406,Nicholas Shore,C
8476460,Mark Scheifele,C
8476470,Nathan Beaulieu,D
8477359,Tucker Poolman,D
8477429,Andrew Copp,C
8477472,Carl Dahlstrom,D
8477504,Josh Morrissey,D
8477940,Nikolaj Ehlers,L
8478398,Kyle Connor,L
8478424,Jansen Harkins,C
8478458,Jack Roslovic,C
8478891,Mason Appleton,C
8478915,Sami Niku,D
8479339,Patrik Laine,R
8480145,Neal Pionk,D
8481019,David Gustafsson,C
8470755,Brad Richardson,C
8471262,Carl Soderberg,C
8471274,Alex Goligoski,D
8471769,Niklas Hjalmarsson,D
8473546,Michael Grabner,L
8473548,Phil Kessel,R
8474218,Jason Demers,D
8474613,Derek Stepan,C
8475171,Oliver Ekman-Larsson,D
8475791,Taylor Hall,L
8476994,Vinnie Hinostroza,R
8477851,Jordan Oesterle,D
8477951,Nick Schmaltz,C
8477989,Christian Dvorak,C
8478432,Christian Fischer,R
8478474,Lawson Crouse,L
8478856,Conor Garland,R
8479343,Clayton Keller,R
8479345,Jakob Chychrun,D
8480849,Barrett Hayton,C
8480950,Ilya Lyubushkin,D
8481599,Victor Soderstrom,D
8475204,Brandon Pirri,C
8468674,Deryk Engelland,D
8471669,Paul Stastny,C
8471817,Ryan Reaves,R
8474157,Max Pacioretty,L
8474166,Alec Martinez,D
8474207,Nick Holden,D
8475188,Brayden McNabb,D
8475191,Reilly Smith,R
8475750,Jon Merrill,D
8475913,Mark Stone,R
8476393,Nick Cousins,C
8476448,William Karlsson,C
8476539,Jonathan Marchessault,C
8476905,Chandler Stephenson,C
8477220,Nate Schmidt,D
8477447,Shea Theodore,D
8477478,William Carrier,L
8477931,Tomas Nosek,L
8477949,Alex Tuch,R
8478097,Reid Duke,C
8478462,Nicolas Roy,C
8479639,Dylan Coghlan,D
8480727,Zach Whitecloud,D
8481522,Peyton Krebs,C
